feature,importance
EXT_SOURCE_MEAN,0.044419095
EXT_SOURCE_MAX,0.02471841
EXT_SOURCE_MIN,0.019505173
EXT_2_3,0.012955042
NAME_EDUCATION_TYPE_WOE,0.012238099
CODE_GENDER_WOE,0.010861389
cc_over_limit_mean,0.008957245
OCCUPATION_TYPE_WOE,0.008253342
inst_late_flag_mean,0.007809249
prev_refusal_rate,0.0069122543
CREDIT_TO_GOODS,0.0068604928
FLAG_DOCUMENT_3,0.006813851
EXT_SOURCE_PROD,0.0068077757
inst_late_rate,0.0067622773
FLAG_OWN_CAR_WOE,0.0064234096
cc_cnt_drawings_mean,0.006186016
pos_sk_dpd_def_mean,0.0059066275
EXT_SOURCE_3,0.0058848467
ORGANIZATION_TYPE_WOE,0.0058518867
GOODS_CREDIT_DIFF,0.005786218
bureau_debt_credit_ratio,0.005743224
inst_days_late_mean,0.0057398477
prev_approval_rate,0.005731555
TOTAL_DOCS_SUBMITTED,0.00570364
ANNUITY_TO_CREDIT,0.005698059
prev_down_payment_sum,0.0055510155
EMPLOYED_YEARS,0.005410012
prev_credit_goods_ratio_mean,0.005366148
cc_utilization_mean,0.005362234
SOCIAL_CIRCLE_DEFAULT_30_RATIO,0.005309684
